model,epoch,train_loss,val_loss
DINOv2 + DPT,54,0.346015,0.307085
DINOv2 + DPT,55,0.328341,0.322428
DINOv2 + DPT,56,0.327993,0.310987
DINOv2 + DPT,57,0.336589,0.304330
DINOv2 + DPT,58,0.327511,0.313922
DINOv2 + DPT,59,0.300832,0.314500
DINOv2 + DPT,60,0.313416,0.312342
DINOv2 + DPT,61,0.318915,0.305611
DINOv2 + DPT,62,0.314118,0.302634
DINOv2 + DPT,63,0.333809,0.305404
DINOv2 + DPT,64,0.291882,0.305009
DINOv2 + DPT,65,0.310389,0.295038
DINOv2 + DPT,66,0.323163,0.300154
DINOv2 + DPT,67,0.305816,0.304719
DINOv2 + DPT,68,0.300113,0.294847
DINOv2 + DPT,69,0.311984,0.297650
DINOv2 + DPT,70,0.308181,0.299778
DINOv2 + DPT,71,0.287658,0.301122
DINOv2 + DPT,72,0.304956,0.299881
DINOv2 + DPT,73,0.289461,0.298016
DINOv2 + DPT,74,0.301031,0.298896
DINOv2 + DPT,75,0.292043,0.296694
DINOv2 + DPT,76,0.310633,0.311176
DINOv2 + DPT,77,0.289096,0.296601
DINOv2 + DPT,78,0.298686,0.301488
DINOv2 + DPT,79,0.286002,0.291710
DINOv2 + DPT,80,0.295153,0.295754
DINOv2 + DPT,81,0.292132,0.294669
DINOv2 + DPT,82,0.302696,0.299019
DINOv2 + DPT,83,0.276108,0.294097
DINOv2 + DPT,84,0.292672,0.288636
DINOv2 + DPT,85,0.264224,0.294699
DINOv2 + DPT,86,0.272354,0.291917
DINOv2 + DPT,87,0.274998,0.294479
DINOv2 + DPT,88,0.273475,0.302280
DINOv2 + DPT,89,0.280654,0.294326
DINOv2 + DPT,90,0.285046,0.290285
DINOv2 + DPT,91,0.278555,0.304036
DINOv2 + DPT,92,0.259916,0.289537
DINOv2 + DPT,93,0.280464,0.298251
DINOv2 + DPT,94,0.278829,0.291141
DINOv2 + DPT,95,0.254221,0.294399
DINOv2 + DPT,96,0.281625,0.293594
DINOv2 + DPT,97,0.279031,0.296024
DINOv2 + DPT,98,0.283282,0.293505
DINOv2 + DPT,99,0.292207,0.301605
DINOv2 + MS,0,1.969706,1.282022
DINOv2 + MS,1,1.188430,0.959735
DINOv2 + MS,2,0.940063,0.746169
DINOv2 + MS,3,0.739868,0.609680
DINOv2 + MS,4,0.618977,0.553201
DINOv2 + MS,5,0.560393,0.508709
DINOv2 + MS,6,0.514258,0.477103
DINOv2 + MS,7,0.553661,0.461341
DINOv2 + MS,8,0.496186,0.454012
DINOv2 + MS,9,0.471140,0.451780
DINOv2 + MS,10,0.471285,0.418724
DINOv2 + MS,11,0.447797,0.450728
DINOv2 + MS,12,0.440441,0.423368
DINOv2 + MS,13,0.414865,0.408785
DINOv2 + MS,14,0.434364,0.413488
DINOv2 + MS,15,0.428499,0.389025
DINOv2 + MS,16,0.418862,0.390844
DINOv2 + MS,17,0.423721,0.383209
DINOv2 + MS,18,0.412262,0.388199
DINOv2 + MS,19,0.397515,0.376744
DINOv2 + MS,20,0.398452,0.376426
DINOv2 + MS,21,0.394024,0.404917
DINOv2 + MS,22,0.410202,0.377234
DINOv2 + MS,23,0.395266,0.379094
DINOv2 + MS,24,0.405215,0.380325
DINOv2 + MS,25,0.393399,0.367150
DINOv2 + MS,26,0.411873,0.369162
DINOv2 + MS,27,0.385672,0.379206
DINOv2 + MS,28,0.386699,0.375274
DINOv2 + MS,29,0.378017,0.359000
DINOv2 + MS,30,0.353624,0.369382
DINOv2 + MS,31,0.380058,0.366208
DINOv2 + MS,32,0.369219,0.370784
DINOv2 + MS,33,0.372135,0.361035
DINOv2 + MS,34,0.376539,0.365025
DINOv2 + MS,35,0.385514,0.369012
DINOv2 + MS,36,0.374371,0.361389
DINOv2 + MS,37,0.392375,0.362526
DINOv2 + MS,38,0.351057,0.355147
DINOv2 + MS,39,0.380559,0.353138
DINOv2 + MS,40,0.346736,0.354678
DINOv2 + MS,41,0.348339,0.359904
DINOv2 + MS,42,0.370528,0.353472
DINOv2 + MS,43,0.358039,0.357145
DINOv2 + MS,44,0.392084,0.365888
DINOv2 + MS,45,0.334834,0.357834
DINOv2 + MS,46,0.357523,0.366893
DINOv2 + MS,47,0.342684,0.348690
DINOv2 + MS,48,0.350902,0.352808
DINOv2 + MS,49,0.347718,0.351413
DINOv2 + MS,50,0.363153,0.348085
DINOv2 + MS,51,0.332531,0.347475
DINOv2 + MS,52,0.359436,0.350712
DINOv2 + MS,53,0.338951,0.352756
DINOv2 + MS,54,0.357159,0.347385
DINOv2 + MS,55,0.353655,0.346753
DINOv2 + MS,56,0.320663,0.346896
DINOv2 + MS,57,0.346401,0.346266
DINOv2 + MS,58,0.346880,0.342466
DINOv2 + MS,59,0.351502,0.346893
DINOv2 + MS,60,0.343349,0.348314
DINOv2 + MS,61,0.334156,0.343222
DINOv2 + MS,62,0.325994,0.347309
DINOv2 + MS,63,0.353324,0.341423
DINOv2 + MS,64,0.347756,0.341668
DINOv2 + MS,65,0.337019,0.343494
DINOv2 + MS,66,0.318805,0.349315
DINOv2 + MS,67,0.317423,0.344325
DINOv2 + MS,68,0.312907,0.341135
DINOv2 + MS,69,0.345568,0.339282
DINOv2 + MS,70,0.331685,0.352526
DINOv2 + MS,71,0.318031,0.346476
DINOv2 + MS,72,0.315122,0.342692
DINOv2 + MS,73,0.353689,0.342264
DINOv2 + MS,74,0.327814,0.350373
DINOv2 + MS,75,0.314155,0.338065
DINOv2 + MS,76,0.341411,0.345783
DINOv2 + MS,77,0.316147,0.349938
DINOv2 + MS,78,0.338831,0.353243
DINOv2 + MS,79,0.341466,0.340707
DINOv2 + MS,80,0.326488,0.338226
DINOv2 + MS,81,0.315197,0.336134
DINOv2 + MS,82,0.314599,0.337627
DINOv2 + MS,83,0.335969,0.339317
DINOv2 + MS,84,0.307035,0.343342
DINOv2 + MS,85,0.329008,0.340381
DINOv2 + MS,86,0.298309,0.345147
DINOv2 + MS,87,0.301652,0.337171
DINOv2 + MS,88,0.308178,0.345324
DINOv2 + MS,89,0.332161,0.342378
DINOv2 + MS,90,0.303113,0.345091
DINOv2 + MS,91,0.311302,0.337637
DINOv2 + MS,92,0.322993,0.342617
DINOv2 + MS,93,0.330801,0.344285
DINOv2 + MS,94,0.302452,0.339202
DINOv2 + MS,95,0.303463,0.344886
DINOv2 + MS,96,0.317233,0.351186
SegDINO,0,1.249708,0.805043
SegDINO,1,0.752099,0.687578
SegDINO,2,0.696498,0.626912
SegDINO,3,0.625063,0.579538
SegDINO,4,0.598622,0.590409
SegDINO,5,0.613011,0.544394
SegDINO,6,0.577369,0.507211
SegDINO,7,0.522651,0.508569
SegDINO,8,0.489213,0.483523
SegDINO,9,0.482176,0.485867
SegDINO,10,0.484976,0.471830
SegDINO,11,0.472484,0.454718
SegDINO,12,0.458158,0.455938
SegDINO,13,0.490335,0.452760
SegDINO,14,0.469330,0.448168
SegDINO,15,0.445683,0.441335
SegDINO,16,0.438474,0.440715
SegDINO,17,0.447623,0.432924
SegDINO,18,0.424527,0.431570
SegDINO,19,0.420783,0.432748
SegDINO,20,0.439877,0.420227
SegDINO,21,0.447258,0.420914
SegDINO,22,0.435111,0.428033
SegDINO,23,0.419103,0.411890
SegDINO,24,0.439878,0.437906
SegDINO,25,0.429524,0.414886
SegDINO,26,0.420941,0.404989
SegDINO,27,0.424476,0.404018
SegDINO,28,0.420333,0.403114
SegDINO,29,0.402006,0.399616
SegDINO,30,0.386110,0.396321
SegDINO,31,0.425344,0.394350
SegDINO,32,0.401547,0.396845
SegDINO,33,0.428748,0.390101
SegDINO,34,0.401995,0.406308
SegDINO,35,0.421269,0.393481
SegDINO,36,0.401395,0.394294
SegDINO,37,0.397615,0.401537
SegDINO,38,0.403015,0.387505
SegDINO,39,0.378093,0.385827
SegDINO,40,0.378147,0.382420
SegDINO,41,0.401666,0.386617
SegDINO,42,0.370389,0.384304
SegDINO,43,0.373555,0.384265
SegDINO,44,0.390249,0.396123
SegDINO,45,0.396490,0.377140
SegDINO,46,0.376881,0.379442
SegDINO,47,0.399283,0.374053
SegDINO,48,0.357815,0.378832
SegDINO,49,0.377091,0.378526
SegDINO,50,0.372482,0.379799
SegDINO,51,0.369832,0.374265
SegDINO,52,0.369647,0.370779
SegDINO,53,0.376744,0.375144
SegDINO,54,0.385733,0.375958
SegDINO,55,0.372074,0.371762
SegDINO,56,0.348562,0.374675
SegDINO,57,0.370741,0.382623
SegDINO,58,0.366127,0.367311
SegDINO,59,0.356218,0.367526
SegDINO,60,0.346760,0.369662
SegDINO,61,0.382628,0.369227
SegDINO,62,0.370270,0.369659
SegDINO,63,0.346017,0.366577
SegDINO,64,0.367127,0.375588
SegDINO,65,0.366793,0.367357
SegDINO,66,0.349155,0.369896
SegDINO,67,0.386792,0.367313
SegDINO,68,0.354396,0.369851
SegDINO,69,0.363871,0.372885
SegDINO,70,0.346292,0.365880
SegDINO,71,0.350443,0.369969
SegDINO,72,0.339664,0.368009
SegDINO,73,0.346196,0.366310
SegDINO,74,0.357804,0.367196
SegDINO,75,0.370039,0.362453
SegDINO,76,0.351170,0.362201
SegDINO,77,0.351462,0.363055
SegDINO,78,0.354374,0.362610
SegDINO,79,0.346688,0.363327
SegDINO,80,0.335736,0.363244
SegDINO,81,0.334499,0.365713
SegDINO,82,0.337045,0.363891
SegDINO,83,0.333748,0.361305
SegDINO,84,0.358248,0.360293
SegDINO,85,0.323664,0.360480
SegDINO,86,0.350778,0.358227
SegDINO,87,0.356811,0.360487
SegDINO,88,0.329290,0.360610
SegDINO,89,0.321685,0.358847
SegDINO,90,0.334455,0.360164
SegDINO,91,0.345655,0.359916
SegDINO,92,0.343516,0.359067
SegDINO,93,0.342588,0.358475
SegDINO,94,0.370174,0.356755
SegDINO,95,0.342951,0.358580
SegDINO,96,0.340665,0.362743
SegDINO,97,0.338144,0.359064
SegDINO,98,0.326767,0.358037
SegDINO,99,0.342986,0.356884
SegDINO,100,0.331488,0.359197
SegDINO,101,0.345377,0.356222
SegDINO,102,0.325684,0.358030
SegDINO,103,0.329061,0.358174
SegDINO,104,0.328512,0.355690
SegDINO,105,0.334122,0.357163
SegDINO,106,0.371875,0.356380
SegDINO,107,0.333630,0.357609
SegDINO,108,0.318244,0.356612
SegDINO,109,0.333312,0.355586
SegDINO,110,0.325804,0.357401
SegDINO,111,0.337870,0.358373
SegDINO,112,0.341996,0.356915
SegDINO,113,0.340371,0.355267
SegDINO,114,0.346237,0.357861
SegDINO,115,0.333493,0.357677
SegDINO,116,0.331488,0.358936
SegDINO,117,0.338488,0.354921
SegDINO,118,0.338626,0.356154
SegDINO,119,0.309859,0.359401
SegDINO,120,0.331774,0.356411
SegDINO,121,0.333948,0.357603
SegDINO,122,0.338254,0.355026
SegDINO,123,0.320738,0.358574
SegDINO,124,0.349714,0.357817
SegDINO,125,0.336267,0.358996
SegDINO,126,0.336797,0.356404
SegDINO,127,0.322862,0.358257
SegDINO,128,0.330536,0.356465
SegDINO,129,0.333583,0.357079
SegDINO,130,0.329038,0.354485
SegDINO,131,0.362659,0.354140
SegDINO,132,0.310802,0.354700
SegDINO,133,0.318348,0.356957
SegDINO,134,0.351263,0.354434
SegDINO,135,0.332354,0.357403
SegDINO,136,0.339457,0.355513
