group,sample_id,Unified,Monocot,Dicot
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_3_01,0.883729,0.888571,0.489057
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_3_02,0.797200,0.806286,0.436586
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_3_03,0.807814,0.816643,0.435000
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_3_04,0.710757,0.705229,0.368029
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_3_05,0.637800,0.638900,0.360857
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_3_06,0.607543,0.615757,0.358214
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_4_01,0.890743,0.870786,0.539500
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_4_02,0.869514,0.867686,0.613857
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_4_03,0.904229,0.888114,0.582900
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_4_04,0.883986,0.863143,0.621343
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_4_05,0.927900,0.929800,0.626543
Monocots in - In-distribution Test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_4_06,0.926400,0.931386,0.582357
Monocots in - In-distribution Test,Rice_Olympus_Exp11_Rhizotron_WT_1_01,0.922943,0.921229,0.679486
Monocots in - In-distribution Test,Rice_Olympus_Exp11_Rhizotron_WT_1_02,0.938886,0.940786,0.750543
Monocots in - In-distribution Test,Rice_Olympus_Exp11_Rhizotron_WT_1_03,0.930400,0.933871,0.705500
Monocots in - In-distribution Test,Rice_Olympus_Exp11_Rhizotron_WT_1_04,0.936029,0.929871,0.744429
