group,sample_id,Unified,Monocot,Dicot
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp1_Image_52,0.895943,0.892957,0.439757
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp1_Image_53,0.886957,0.887143,0.396129
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp1_Image_54,0.915014,0.909629,0.407286
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp1_Image_56,0.907314,0.910629,0.539686
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp1_Image_57,0.901743,0.903029,0.469157
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp1_Image_58,0.919243,0.921429,0.528457
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp1_Image_59,0.906586,0.898986,0.543486
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp1_Image_60,0.883300,0.890529,0.489171
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp1_Image_61,0.897800,0.899414,0.359929
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp1_Image_62,0.919400,0.914171,0.427943
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp1_Image_63,0.890314,0.883157,0.419586
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp1_Image_64,0.855314,0.871129,0.382471
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp1_Image_65,0.895171,0.887329,0.436029
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp2_Image_35,0.856186,0.854029,0.372600
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp2_Image_47,0.919957,0.917171,0.556300
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp2_Image_55,0.915071,0.908257,0.441486
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp2_Image_66,0.923671,0.921357,0.497286
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp3_Image_32,0.830314,0.849686,0.389571
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp3_Image_38,0.862957,0.861457,0.485186
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp3_Image_49,0.905657,0.899386,0.648800
