species,GT_aerenchyma_ratio,GT_exodermis_TRITC,GT_exodermis_FITC,GT_endodermis_TRITC,GT_endodermis_FITC,Pred_aerenchyma_ratio,Pred_exodermis_TRITC,Pred_exodermis_FITC,Pred_endodermis_TRITC,Pred_endodermis_FITC
Rice,0.180405,10650.35547,7689.535156,13873.07031,6434.167969,0.202776,10603.70215,7745.70752,13621.06641,6301.538574
Rice,0.022486,7191.837891,4392.032715,9007.37793,3710.281494,0.016686,7191.358398,4421.016602,9220.648438,3810.300781
Rice,0.007267,6349.507812,8995.243164,6377.001465,7067.668945,0.017102,6314.999023,9131.446289,6165.539062,6957.807129
Rice,0.003865,4788.582031,7437.105957,6192.333984,6983.619629,0.008139,4703.125,7553.712402,5794.047852,6960.907715
Rice,0.017016,4679.764648,6203.20459,4299.584961,5896.887695,0.009484,4642.614746,6266.98877,4675.658691,6290.594727
Rice,0.011186,6611.309082,4417.922363,6890.584961,4521.337402,0.006582,6568.103027,4730.812988,6933.872559,4527.821289
Rice,0.007291,4510.446289,5328.92334,5059.720703,5242.477539,0.010361,4474.650879,5493.192383,5044.576172,5324.386719
Rice,0.007055,6482.416504,7135.416504,6324.116699,6410.248535,0.004889,6404.615723,7054.10791,6510.251953,6322.484863
Rice,0.124824,4658.979492,8478.625977,7812.51416,11645.58301,0.049043,2979.234131,8389.092773,7827.866211,11698.83887
Rice,0.12752,3829.200439,9326.995117,7801.604492,11452.71289,0.099045,2803.724365,8567.954102,7922.180176,11725.43164
Rice,0.10894,4142.717773,6831.911621,7994.536133,9396.623047,0.08398,2537.902344,6212.035645,7932.693359,9289.65625
Rice,0.109813,3810.637695,7747.237793,8766.704102,10932.51563,0.091115,2518.815918,6815.139648,8943.97168,11210.08106
Rice,0.126264,4076.107666,6569.442871,8623.407227,8600.360352,0.087911,3448.247803,6366.286133,8549.431641,8446.589844
Rice,0.0,4157.006836,2378.797607,5155.415039,2524.301758,0.00465,4187.362793,2420.888916,4994.944336,2228.25
Rice,0.0,2889.106934,2449.77002,5011.089355,2637.033203,0.0,2985.354736,2552.837158,5159.803223,2706.15625
