sample_id,species,microscope,experiment,Epidermis_IoU,Epidermis_Dice,Exodermis_IoU,Exodermis_Dice,Cortex_IoU,Cortex_Dice,Aerenchyma_IoU,Aerenchyma_Dice,Endodermis_IoU,Endodermis_Dice,Vascular_IoU,Vascular_Dice,mean_IoU,mean_Dice,split
Millet_Olympus_Exp2_7-8cm_17,Millet,Olympus,Exp2,0.8127,0.8967,0.8363,0.9108,0.9238,0.9604,0.3611,0.5306,0.9514,0.9751,0.9898,0.9949,0.8125,0.8781,test
Millet_Olympus_Exp4_1-2cm__64,Millet,Olympus,Exp4,0.8551,0.9219,0.9465,0.9725,0.97,0.9848,0.2057,0.3412,0.9287,0.963,0.9828,0.9913,0.8148,0.8624,test
Millet_Olympus_Exp4_1-2cm__08,Millet,Olympus,Exp4,0.9096,0.9527,0.9548,0.9769,0.9773,0.9885,0.1147,0.2058,0.947,0.9728,0.9834,0.9916,0.8145,0.8481,test
Millet_Olympus_Exp6_5-6cm__80,Millet,Olympus,Exp6,0.8519,0.92,0.9274,0.9624,0.9747,0.9872,0.1814,0.307,0.9659,0.9827,0.9934,0.9967,0.8158,0.8593,test
Millet_Olympus_Exp6_5-6cm__57,Millet,Olympus,Exp6,0.8724,0.9319,0.8955,0.9449,0.9638,0.9816,0.2041,0.339,0.9623,0.9808,0.9915,0.9957,0.8149,0.8623,test
Millet_Olympus_Exp2_5-6cm_74,Millet,Olympus,Exp2,0.8927,0.9433,0.9205,0.9586,0.9738,0.9867,0.2092,0.3461,0.9214,0.9591,0.983,0.9914,0.8168,0.8642,test
Sorghum_Olympus_Exp16_3_05,Sorghum,Olympus,Exp16,0.8319,0.9083,0.9103,0.9531,0.9834,0.9916,0.2554,0.4069,0.9434,0.9709,0.9914,0.9957,0.8193,0.8711,test
Millet_Olympus_Exp4_1-2cm__103,Millet,Olympus,Exp4,0.9272,0.9623,0.9576,0.9784,0.9751,0.9874,0.1374,0.2416,0.9299,0.9637,0.9804,0.9901,0.8179,0.8539,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_5_04,Rice,Olympus,Exp10,0.8955,0.9448,0.9404,0.9693,0.9799,0.9899,0.53,0.6928,0.6439,0.7834,0.9269,0.9621,0.8194,0.8904,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_5_03,Rice,Olympus,Exp10,0.8363,0.9109,0.9171,0.9568,0.9805,0.9902,0.487,0.655,0.7891,0.8821,0.9305,0.964,0.8234,0.8932,test
Rice_C10_Exp7_PSY17-4-b,Rice,C10,Exp7,0.9237,0.9603,0.9667,0.983,0.9933,0.9967,0.3269,0.4928,0.7828,0.8782,0.9404,0.9693,0.8223,0.8801,test
Sorghum_Olympus_Exp71_PDB134_01,Sorghum,Olympus,Exp71,0.8136,0.8972,0.7292,0.8434,0.9712,0.9854,0.5692,0.7255,0.8771,0.9345,0.9809,0.9904,0.8235,0.8961,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_5_05,Rice,Olympus,Exp10,0.8206,0.9015,0.9169,0.9567,0.9844,0.9921,0.4328,0.6041,0.8617,0.9257,0.9666,0.983,0.8305,0.8938,test
Sorghum_Olympus_Exp94_LLC3456_13,Sorghum,Olympus,Exp94,0.8542,0.9214,0.8846,0.9387,0.9861,0.993,0.341,0.5086,0.9335,0.9656,0.9933,0.9966,0.8321,0.8873,test
Sorghum_Olympus_Exp16_2_01,Sorghum,Olympus,Exp16,0.853,0.9207,0.9498,0.9743,0.9883,0.9941,0.287,0.4459,0.9464,0.9725,0.9919,0.996,0.8361,0.8839,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_1_05,Rice,Olympus,Exp10,0.7974,0.8873,0.9464,0.9725,0.9926,0.9963,0.4923,0.6597,0.8306,0.9074,0.9533,0.9761,0.8354,0.8999,test
Millet_Olympus_Exp4_1-2cm__83,Millet,Olympus,Exp4,0.8949,0.9446,0.9469,0.9727,0.9814,0.9906,0.2579,0.4101,0.9474,0.973,0.9821,0.991,0.8351,0.8803,test
Millet_Olympus_Exp2_5-6cm_27,Millet,Olympus,Exp2,0.8968,0.9456,0.9003,0.9475,0.972,0.9858,0.2962,0.457,0.9554,0.9772,0.9885,0.9942,0.8349,0.8845,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_5_02,Rice,Olympus,Exp10,0.903,0.949,0.9557,0.9773,0.993,0.9965,0.2945,0.455,0.9011,0.948,0.9808,0.9903,0.8380,0.8860,test
Rice_Olympus_Exp11_Rhizotron_WT_3_02,Rice,Olympus,Exp11,0.6917,0.8178,0.6256,0.7697,0.9468,0.9727,0.8824,0.9375,0.9102,0.953,0.9835,0.9917,0.8400,0.9071,test
Sorghum_C10_Exp3_G1,Sorghum,C10,Exp3,0.8698,0.9304,0.9168,0.9566,0.985,0.9925,0.3819,0.5527,0.9059,0.9506,0.9793,0.9895,0.8398,0.8954,test
Millet_Olympus_Exp2_5-6cm_41,Millet,Olympus,Exp2,0.8755,0.9336,0.9544,0.9767,0.981,0.9904,0.2978,0.4589,0.9451,0.9718,0.9877,0.9938,0.8403,0.8875,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_5_07,Rice,Olympus,Exp10,0.7568,0.8616,0.8731,0.9322,0.9905,0.9952,0.5749,0.7301,0.8934,0.9437,0.9728,0.9862,0.8436,0.9082,test
Millet_Olympus_Exp4_1-2cm__37,Millet,Olympus,Exp4,0.8855,0.9393,0.9647,0.982,0.9772,0.9885,0.3357,0.5026,0.9137,0.9549,0.9762,0.988,0.8422,0.8925,test
Sorghum_C10_Exp3_G12,Sorghum,C10,Exp3,0.8253,0.9043,0.8486,0.9181,0.9786,0.9892,0.5811,0.735,0.8665,0.9285,0.9766,0.9882,0.8461,0.9105,test
Millet_Olympus_Exp2_5-6cm_89,Millet,Olympus,Exp2,0.9258,0.9615,0.9469,0.9727,0.9714,0.9855,0.3213,0.4863,0.9351,0.9665,0.9863,0.9931,0.8478,0.8943,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_4_02,Rice,Olympus,Exp10,0.5594,0.7174,0.9241,0.9605,0.9686,0.9841,0.8419,0.9141,0.8781,0.9351,0.9758,0.9878,0.8580,0.9165,test
Sorghum_C10_Exp4_G1,Sorghum,C10,Exp4,0.7756,0.8736,0.8793,0.9358,0.9828,0.9913,0.6315,0.7741,0.8614,0.9255,0.9786,0.9892,0.8515,0.9149,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_5_06,Rice,Olympus,Exp10,0.8339,0.9094,0.921,0.9589,0.9907,0.9953,0.5031,0.6694,0.8884,0.9409,0.9783,0.989,0.8526,0.9105,test
Millet_Olympus_Exp2_5-6cm_04,Millet,Olympus,Exp2,0.9323,0.9649,0.9429,0.9706,0.9757,0.9877,0.3501,0.5186,0.9501,0.9744,0.9891,0.9945,0.8567,0.9018,test
Rice_C10_Exp7_PSY17-4-a,Rice,C10,Exp7,0.9147,0.9555,0.9679,0.9837,0.9936,0.9968,0.4923,0.6598,0.8212,0.9018,0.9588,0.9789,0.8581,0.9128,test
Millet_Olympus_Exp2_5-6cm_67,Millet,Olympus,Exp2,0.9354,0.9666,0.9399,0.969,0.9683,0.9839,0.3788,0.5494,0.9551,0.977,0.9878,0.9939,0.8609,0.9066,test
Tomato_Olympus_Exp1_Lignin_mutants_16,Solanum,Olympus,Exp1,0.7108,0.831,0.8073,0.8934,0.9162,0.9563,,,0.9207,0.9587,0.9644,0.9819,0.8639,0.9243,test
Millet_Olympus_Exp4_1-2cm__75,Millet,Olympus,Exp4,0.9027,0.9489,0.96,0.9796,0.9825,0.9912,0.4162,0.5878,0.941,0.9696,0.9786,0.9892,0.8635,0.9111,test
Rice_Olympus_Exp11_Rhizotron_WT_3_05,Rice,Olympus,Exp11,0.6839,0.8123,0.7913,0.8835,0.972,0.9858,0.8596,0.9245,0.9149,0.9556,0.9833,0.9916,0.8675,0.9255,test
Sorghum_Olympus_Exp71_PDB134_06,Sorghum,Olympus,Exp71,0.8571,0.9231,0.8916,0.9427,0.9825,0.9912,0.5647,0.7218,0.9042,0.9497,0.9856,0.9927,0.8643,0.9202,test
