sample_id,species,microscope,experiment,Epidermis_IoU,Epidermis_Dice,Exodermis_IoU,Exodermis_Dice,Cortex_IoU,Cortex_Dice,Aerenchyma_IoU,Aerenchyma_Dice,Endodermis_IoU,Endodermis_Dice,Vascular_IoU,Vascular_Dice,mean_IoU,mean_Dice,split
Sorghum_Olympus_Exp75_PDB161_16,Sorghum,Olympus,Exp75,0.8187,0.9003,0.938,0.968,0.9905,0.9952,0.8294,0.9067,0.9263,0.9618,0.9877,0.9938,0.9151,0.9543,test
Tomato_Olympus_Exp8_Solanum_Yeonjoon_Slide3_02,Solanum,Olympus,Exp8,0.8305,0.9074,0.9624,0.9809,0.9475,0.9731,,,0.8943,0.9442,0.9515,0.9751,0.9172,0.9561,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_4_06,Rice,Olympus,Exp10,0.86,0.9247,0.9602,0.9797,0.9926,0.9963,0.8169,0.8992,0.8934,0.9437,0.9744,0.987,0.9163,0.9551,test
Sorghum_Olympus_Exp74_PDB143_03,Sorghum,Olympus,Exp74,0.8833,0.9381,0.9497,0.9742,0.9893,0.9946,0.8062,0.8927,0.9,0.9474,0.968,0.9838,0.9161,0.9551,test
Tomato_Olympus_Exp2_Lignin_mutants_35,Solanum,Olympus,Exp2,0.8137,0.8973,0.9309,0.9642,0.9806,0.9902,,,0.8745,0.9331,0.9785,0.9891,0.9156,0.9548,test
Rice_Olympus_Exp11_Rhizotron_WT_3_03,Rice,Olympus,Exp11,0.7954,0.886,0.9146,0.9554,0.9892,0.9946,0.9146,0.9554,0.9106,0.9532,0.9837,0.9918,0.9180,0.9561,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_4_05,Rice,Olympus,Exp10,0.785,0.8796,0.958,0.9786,0.9921,0.996,0.9052,0.9502,0.9047,0.95,0.9747,0.9872,0.9200,0.9569,test
Rice_Olympus_Exp11_Rhizotron_WT_1_05,Rice,Olympus,Exp11,0.8628,0.9264,0.9416,0.9699,0.9923,0.9961,0.8001,0.889,0.9305,0.964,0.9849,0.9924,0.9187,0.9563,test
Sorghum_Olympus_Exp88_N3_02,Sorghum,Olympus,Exp88,0.8318,0.9082,0.9533,0.9761,0.9927,0.9963,0.7965,0.8867,0.9461,0.9723,0.992,0.996,0.9187,0.9559,test
Sorghum_Olympus_Exp75_PDB161_27,Sorghum,Olympus,Exp75,0.8368,0.9112,0.9452,0.9719,0.9915,0.9958,0.8253,0.9043,0.9273,0.9623,0.9881,0.994,0.9190,0.9566,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_3_04,Rice,Olympus,Exp10,0.8982,0.9464,0.9563,0.9777,0.9935,0.9967,0.7562,0.8612,0.9277,0.9625,0.9806,0.9902,0.9187,0.9558,test
Rice_Olympus_Exp11_Rhizotron_WT_1_03,Rice,Olympus,Exp11,0.9048,0.95,0.9488,0.9738,0.9928,0.9964,0.7618,0.8648,0.9293,0.9633,0.9832,0.9915,0.9201,0.9566,test
Sorghum_Olympus_Exp74_PDB143_05,Sorghum,Olympus,Exp74,0.8657,0.928,0.9338,0.9658,0.9904,0.9952,0.8298,0.907,0.9209,0.9588,0.9879,0.9939,0.9214,0.9581,test
Sorghum_C10_Exp4_H1,Sorghum,C10,Exp4,0.8877,0.9405,0.8685,0.9296,0.978,0.9889,,,0.8866,0.9399,0.9822,0.991,0.9206,0.9580,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_4_01,Rice,Olympus,Exp10,0.8796,0.936,0.9458,0.9721,0.992,0.996,0.8105,0.8953,0.9293,0.9633,0.9819,0.9909,0.9232,0.9589,test
Rice_C10_Exp10_PSY9-4-d,Rice,C10,Exp10,0.9137,0.9549,0.959,0.9791,0.9884,0.9942,0.8234,0.9031,0.8888,0.9411,0.9678,0.9836,0.9235,0.9593,test
Tomato_Olympus_Exp10_Suberin_mutants_1-12_33,Solanum,Olympus,Exp10,0.8494,0.9185,0.8948,0.9445,0.9417,0.97,,,0.9361,0.967,0.9851,0.9925,0.9214,0.9585,test
Tomato_Olympus_Exp5_Solanum_MajkenSlide1_36,Solanum,Olympus,Exp5,0.8321,0.9083,0.9313,0.9644,0.9759,0.9878,,,0.9141,0.9551,0.966,0.9827,0.9239,0.9597,test
Sorghum_Olympus_Exp74_PDB143_14,Sorghum,Olympus,Exp74,0.8777,0.9348,0.9366,0.9673,0.9905,0.9952,0.8311,0.9078,0.9208,0.9588,0.9869,0.9934,0.9239,0.9596,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_4_06,Rice,Olympus,Exp10,0.8728,0.9321,0.9638,0.9815,0.9941,0.997,0.8146,0.8978,0.9204,0.9585,0.9824,0.9911,0.9247,0.9597,test
Sorghum_Olympus_Exp75_PDB161_03,Sorghum,Olympus,Exp75,0.8287,0.9063,0.942,0.9701,0.9916,0.9958,0.8699,0.9304,0.9264,0.9618,0.9879,0.9939,0.9244,0.9597,test
Sorghum_Olympus_Exp74_PDB143_24,Sorghum,Olympus,Exp74,0.8118,0.8961,0.9502,0.9745,0.9928,0.9964,0.8655,0.9279,0.9461,0.9723,0.991,0.9955,0.9262,0.9604,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_3_01,Rice,Olympus,Exp10,0.8622,0.926,0.9565,0.9778,0.9912,0.9956,0.8522,0.9202,0.9165,0.9565,0.9823,0.9911,0.9268,0.9612,test
Sorghum_Olympus_Exp75_PDB161_07,Sorghum,Olympus,Exp75,0.8386,0.9122,0.9385,0.9683,0.9907,0.9953,0.8876,0.9405,0.9148,0.9555,0.9881,0.994,0.9264,0.9610,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_4_04,Rice,Olympus,Exp10,0.8946,0.9444,0.9514,0.9751,0.9909,0.9954,0.815,0.8981,0.926,0.9616,0.9803,0.9901,0.9264,0.9608,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_3_05,Rice,Olympus,Exp10,0.9174,0.9569,0.9597,0.9794,0.9929,0.9964,0.7847,0.8794,0.9236,0.9603,0.9771,0.9884,0.9259,0.9601,test
Rice_Olympus_Exp11_Rhizotron_WT_1_04,Rice,Olympus,Exp11,0.8589,0.9241,0.9281,0.9627,0.9914,0.9957,0.8688,0.9298,0.9299,0.9637,0.9866,0.9933,0.9273,0.9616,test
Sorghum_Olympus_Exp75_PDB161_12,Sorghum,Olympus,Exp75,0.8422,0.9143,0.9289,0.9631,0.9902,0.9951,0.8824,0.9375,0.9301,0.9638,0.9889,0.9944,0.9271,0.9614,test
Tomato_Olympus_Exp1_Lignin_mutants_223,Solanum,Olympus,Exp1,0.9302,0.9638,0.9617,0.9805,0.9592,0.9792,,,0.873,0.9322,0.9023,0.9486,0.9253,0.9609,test
Sorghum_Olympus_Exp59_1_07,Sorghum,Olympus,Exp59,0.9101,0.9529,0.9658,0.9826,0.994,0.997,0.7655,0.8672,0.9428,0.9705,0.9907,0.9953,0.9282,0.9609,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_3_06,Rice,Olympus,Exp10,0.8748,0.9332,0.9611,0.9801,0.9927,0.9963,0.8307,0.9075,0.9343,0.966,0.9849,0.9924,0.9297,0.9626,test
Rice_Olympus_Exp11_Rhizotron_WT_1_02,Rice,Olympus,Exp11,0.9166,0.9565,0.905,0.9502,0.9816,0.9907,0.87,0.9305,0.9247,0.9609,0.9828,0.9913,0.9301,0.9634,test
Sorghum_Olympus_Exp100_LLC2960_05,Sorghum,Olympus,Exp100,0.8547,0.9216,0.9303,0.9639,0.9885,0.9942,0.8709,0.931,0.9488,0.9737,0.9906,0.9953,0.9306,0.9633,test
Tomato_Olympus_Exp5_Solanum_MajkenSlide1_14,Solanum,Olympus,Exp5,0.866,0.9282,0.9678,0.9836,0.9389,0.9685,,,0.916,0.9562,0.9735,0.9866,0.9324,0.9646,test
Tomato_C10_Exp3_M82_WT_B1ROI1,Solanum,C10,Exp3,0.8426,0.9146,0.956,0.9775,0.9835,0.9917,,,0.9017,0.9483,0.9766,0.9882,0.9321,0.9641,test
Rice_C10_Exp10_PSY9-4-c,Rice,C10,Exp10,0.9207,0.9587,0.9678,0.9836,0.9867,0.9933,0.8782,0.9352,0.8738,0.9326,0.9764,0.9881,0.9339,0.9653,test
Tomato_Olympus_Exp16_WT_8_01,Solanum,Olympus,Exp16,0.8805,0.9365,0.9605,0.9799,0.9752,0.9874,,,0.8784,0.9352,0.9694,0.9845,0.9328,0.9647,test
Tomato_Olympus_Exp11_Suberin_mutants_11-20_21,Solanum,Olympus,Exp11,0.8709,0.931,0.9301,0.9638,0.9504,0.9746,,,0.9357,0.9668,0.9865,0.9932,0.9347,0.9659,test
Tomato_C10_Exp3_M82_WT_A9,Solanum,C10,Exp3,0.8162,0.8988,0.962,0.9806,0.9898,0.9949,,,0.9271,0.9622,0.9835,0.9917,0.9357,0.9656,test
Tomato_C10_Exp3_M82_WT_A12ROI1,Solanum,C10,Exp3,0.8774,0.9347,0.9488,0.9737,0.9797,0.9897,,,0.8952,0.9447,0.9765,0.9881,0.9355,0.9662,test
Tomato_Olympus_Exp5_Solanum_MajkenSlide1_05,Solanum,Olympus,Exp5,0.8929,0.9434,0.9507,0.9747,0.9444,0.9714,,,0.9268,0.962,0.9719,0.9857,0.9373,0.9674,test
Tomato_C10_Exp3_M82_WT_C12ROI1,Solanum,C10,Exp3,0.8641,0.9271,0.9472,0.9729,0.9837,0.9918,,,0.9134,0.9547,0.9789,0.9893,0.9375,0.9672,test
Tomato_C10_Exp3_M82_WT_A6,Solanum,C10,Exp3,0.8516,0.9199,0.9431,0.9707,0.9811,0.9904,,,0.9335,0.9656,0.9813,0.9906,0.9381,0.9674,test
Tomato_Olympus_Exp1_Lignin_mutants_132,Solanum,Olympus,Exp1,0.8895,0.9415,0.9523,0.9756,0.9661,0.9828,,,0.9142,0.9552,0.9711,0.9853,0.9386,0.9681,test
Millet_Olympus_Exp4_1-2cm__55,Millet,Olympus,Exp4,0.8887,0.9411,0.9609,0.9801,0.9837,0.9918,0.8921,0.943,0.9368,0.9674,0.9765,0.9881,0.9398,0.9686,test
Tomato_Olympus_Exp13_Suberin_mutants_21-30_07,Solanum,Olympus,Exp13,0.8636,0.9268,0.9416,0.9699,0.9685,0.984,,,0.9472,0.9729,0.9883,0.9941,0.9418,0.9695,test
Tomato_C10_Exp3_M82_WT_A10,Solanum,C10,Exp3,0.8635,0.9268,0.9621,0.9807,0.9847,0.9923,,,0.9209,0.9588,0.9756,0.9877,0.9414,0.9693,test
Tomato_Olympus_Exp14_Suberin_mutants_31-40_04,Solanum,Olympus,Exp14,0.864,0.927,0.9367,0.9673,0.9772,0.9885,,,0.9441,0.9712,0.9857,0.9928,0.9415,0.9694,test
Tomato_C10_Exp3_M82_WT_D8,Solanum,C10,Exp3,0.8476,0.9175,0.9611,0.9802,0.9852,0.9926,,,0.9396,0.9689,0.9831,0.9915,0.9433,0.9701,test
Tomato_Olympus_Exp10_Suberin_mutants_1-12_02,Solanum,Olympus,Exp10,0.8762,0.934,0.9562,0.9776,0.9819,0.9909,,,0.9149,0.9555,0.9827,0.9913,0.9424,0.9699,test
Millet_Olympus_Exp4_1-2cm__17,Millet,Olympus,Exp4,0.9141,0.9551,0.9486,0.9736,0.9604,0.9798,,,0.9138,0.9549,0.9814,0.9906,0.9437,0.9708,test
Tomato_C10_Exp3_M82_WT_G12ROI1,Solanum,C10,Exp3,0.8705,0.9307,0.9592,0.9792,0.9869,0.9934,,,0.9256,0.9613,0.9785,0.9891,0.9441,0.9707,test
Tomato_Olympus_Exp3_Lignin_mutants_36,Solanum,Olympus,Exp3,0.894,0.944,0.9453,0.9719,0.9782,0.989,,,0.9238,0.9604,0.9855,0.9927,0.9454,0.9716,test
Tomato_Olympus_Exp6_Solanum_WendySlide1_04,Solanum,Olympus,Exp6,0.8633,0.9267,0.9618,0.9805,0.9878,0.9939,,,0.932,0.9648,0.9801,0.9899,0.9450,0.9712,test
Tomato_Olympus_Exp16_WT_13_03,Solanum,Olympus,Exp16,0.8624,0.9261,0.9654,0.9824,0.9826,0.9912,,,0.9322,0.9649,0.9879,0.9939,0.9461,0.9717,test
Tomato_Olympus_Exp2_Lignin_mutants_06,Solanum,Olympus,Exp2,0.9011,0.948,0.9549,0.9769,0.9761,0.9879,,,0.9307,0.9641,0.9706,0.9851,0.9467,0.9724,test
Tomato_Olympus_Exp19_WT_55_24-03,Solanum,Olympus,Exp19,0.873,0.9322,0.9526,0.9757,0.9765,0.9881,,,0.9492,0.9739,0.987,0.9935,0.9477,0.9727,test
Tomato_C10_Exp3_M82_WT_A8ROI1,Solanum,C10,Exp3,0.8939,0.944,0.9625,0.9809,0.9876,0.9938,,,0.9148,0.9555,0.979,0.9894,0.9476,0.9727,test
Tomato_Olympus_Exp16_WT_32_03,Solanum,Olympus,Exp16,0.8719,0.9315,0.9615,0.9804,0.9831,0.9915,,,0.9404,0.9693,0.9874,0.9937,0.9489,0.9733,test
Tomato_Olympus_Exp6_Solanum_WendySlide1_19,Solanum,Olympus,Exp6,0.8792,0.9357,0.9699,0.9847,0.9678,0.9837,,,0.9572,0.9781,0.9783,0.989,0.9505,0.9742,test
Tomato_Olympus_Exp10_Suberin_mutants_1-12_43,Solanum,Olympus,Exp10,0.9025,0.9487,0.9535,0.9762,0.9768,0.9883,,,0.9339,0.9658,0.9835,0.9917,0.9500,0.9741,test
Tomato_Olympus_Exp14_Suberin_mutants_31-40_27,Solanum,Olympus,Exp14,0.8806,0.9365,0.9688,0.9842,0.9867,0.9933,,,0.9524,0.9756,0.9858,0.9928,0.9549,0.9765,test
Tomato_C10_Exp3_M82_WT_H5ROI1,Solanum,C10,Exp3,0.8967,0.9455,0.9686,0.984,0.9914,0.9957,,,0.9428,0.9705,0.9831,0.9915,0.9565,0.9774,test
Tomato_Olympus_Exp18_WT_38_07,Solanum,Olympus,Exp18,0.906,0.9507,0.9684,0.984,0.988,0.994,,,0.9396,0.9689,0.9868,0.9933,0.9578,0.9782,test
Tomato_Olympus_Exp11_Suberin_mutants_11-20_10,Solanum,Olympus,Exp11,0.898,0.9463,0.9694,0.9845,0.9872,0.9936,,,0.952,0.9754,0.9885,0.9942,0.9590,0.9788,test
Rice_Zeiss_Exp1_Image_33,Rice,Zeiss,Exp1,0.3692,0.5393,0.5484,0.7083,0.9456,0.972,0.7128,0.8323,0.8489,0.9183,0.9823,0.9911,0.7345,0.8269,zero-shot
Rice_Zeiss_Exp1_Image_31,Rice,Zeiss,Exp1,0.5769,0.7317,0.6844,0.8126,0.9704,0.985,0.4227,0.5942,0.8676,0.9291,0.9823,0.9911,0.7507,0.8406,zero-shot
Rice_Zeiss_Exp3_Image_32,Rice,Zeiss,Exp3,0.565,0.7221,0.6849,0.813,0.9725,0.986,0.7705,0.8704,0.8746,0.9331,0.9763,0.988,0.8073,0.8854,zero-shot
Rice_Zeiss_Exp1_Image_36,Rice,Zeiss,Exp1,0.6287,0.772,0.684,0.8124,0.958,0.9786,0.8669,0.9287,0.7986,0.888,0.9734,0.9865,0.8183,0.8944,zero-shot
Rice_Zeiss_Exp1_Image_64,Rice,Zeiss,Exp1,0.6242,0.7686,0.7631,0.8656,0.9826,0.9912,0.8767,0.9343,0.8061,0.8926,0.9625,0.9809,0.8359,0.9055,zero-shot
Rice_Zeiss_Exp2_Image_35,Rice,Zeiss,Exp2,0.5488,0.7087,0.8456,0.9163,0.9871,0.9935,0.8037,0.8911,0.8549,0.9218,0.9759,0.9878,0.8360,0.9032,zero-shot
Rice_Zeiss_Exp3_Image_38,Rice,Zeiss,Exp3,0.6977,0.8219,0.7552,0.8605,0.972,0.9858,0.8604,0.925,0.7977,0.8875,0.9788,0.9893,0.8436,0.9117,zero-shot
Rice_Zeiss_Exp1_Image_39,Rice,Zeiss,Exp1,0.7482,0.8559,0.848,0.9178,0.9824,0.9911,0.8266,0.905,0.768,0.8688,0.9723,0.9859,0.8576,0.9207,zero-shot
Rice_Zeiss_Exp1_Image_51,Rice,Zeiss,Exp1,0.7518,0.8583,0.8726,0.932,0.9811,0.9905,0.7727,0.8718,0.8239,0.9034,0.9628,0.981,0.8608,0.9228,zero-shot
Rice_Zeiss_Exp1_Image_34,Rice,Zeiss,Exp1,0.7092,0.8298,0.7834,0.8785,0.9787,0.9892,0.9055,0.9504,0.8512,0.9196,0.9728,0.9862,0.8668,0.9256,zero-shot
Rice_Zeiss_Exp1_Image_60,Rice,Zeiss,Exp1,0.8362,0.9108,0.9139,0.955,0.9862,0.9931,0.8112,0.8958,0.7064,0.828,0.9441,0.9712,0.8663,0.9256,zero-shot
Rice_Zeiss_Exp1_Image_41,Rice,Zeiss,Exp1,0.7129,0.8324,0.8817,0.9371,0.983,0.9914,0.8036,0.8911,0.8778,0.9349,0.9648,0.9821,0.8706,0.9282,zero-shot
Rice_Zeiss_Exp1_Image_53,Rice,Zeiss,Exp1,0.6762,0.8068,0.8079,0.8938,0.9846,0.9923,0.8765,0.9342,0.9078,0.9516,0.9834,0.9916,0.8727,0.9284,zero-shot
Rice_Zeiss_Exp1_Image_63,Rice,Zeiss,Exp1,0.7252,0.8407,0.8631,0.9265,0.9838,0.9918,0.8213,0.9019,0.8793,0.9358,0.9786,0.9892,0.8752,0.9310,zero-shot
Rice_Zeiss_Exp1_Image_43,Rice,Zeiss,Exp1,0.7512,0.8579,0.858,0.9236,0.9806,0.9902,0.8126,0.8966,0.8762,0.934,0.9736,0.9866,0.8754,0.9315,zero-shot
Rice_Zeiss_Exp1_Image_40,Rice,Zeiss,Exp1,0.7752,0.8734,0.8795,0.9359,0.9832,0.9915,0.812,0.8963,0.8648,0.9275,0.9659,0.9827,0.8801,0.9346,zero-shot
Rice_Zeiss_Exp1_Image_65,Rice,Zeiss,Exp1,0.7127,0.8323,0.8489,0.9183,0.9791,0.9894,0.8725,0.9319,0.8913,0.9425,0.9782,0.989,0.8805,0.9339,zero-shot
Rice_Zeiss_Exp1_Image_52,Rice,Zeiss,Exp1,0.7794,0.876,0.8739,0.9327,0.9844,0.9921,0.8871,0.9402,0.7966,0.8868,0.9692,0.9843,0.8818,0.9354,zero-shot
Rice_Zeiss_Exp1_Image_61,Rice,Zeiss,Exp1,0.7622,0.865,0.8648,0.9275,0.9875,0.9937,0.8678,0.9292,0.855,0.9218,0.9681,0.9838,0.8842,0.9368,zero-shot
Rice_Zeiss_Exp1_Image_57,Rice,Zeiss,Exp1,0.775,0.8732,0.8551,0.9219,0.9826,0.9912,0.89,0.9418,0.8528,0.9205,0.9767,0.9882,0.8887,0.9395,zero-shot
Rice_Zeiss_Exp1_Image_45,Rice,Zeiss,Exp1,0.7191,0.8366,0.8894,0.9414,0.9873,0.9936,0.8613,0.9255,0.9079,0.9517,0.9795,0.9897,0.8907,0.9398,zero-shot
Rice_Zeiss_Exp3_Image_49,Rice,Zeiss,Exp3,0.8635,0.9267,0.8906,0.9421,0.9827,0.9913,0.7449,0.8538,0.895,0.9446,0.9757,0.9877,0.8921,0.9410,zero-shot
Rice_Zeiss_Exp1_Image_59,Rice,Zeiss,Exp1,0.7563,0.8612,0.913,0.9545,0.9814,0.9906,0.9325,0.9651,0.8214,0.9019,0.9633,0.9813,0.8947,0.9424,zero-shot
Rice_Zeiss_Exp1_Image_56,Rice,Zeiss,Exp1,0.7712,0.8708,0.8978,0.9461,0.9885,0.9942,0.8876,0.9405,0.8476,0.9175,0.9809,0.9904,0.8956,0.9433,zero-shot
Rice_Zeiss_Exp1_Image_50,Rice,Zeiss,Exp1,0.8354,0.9103,0.9055,0.9504,0.9861,0.993,0.8382,0.912,0.8649,0.9275,0.9625,0.9809,0.8988,0.9457,zero-shot
Rice_Zeiss_Exp1_Image_37,Rice,Zeiss,Exp1,0.7915,0.8836,0.8928,0.9434,0.9919,0.9959,0.8318,0.9082,0.9083,0.9519,0.9859,0.9929,0.9004,0.9460,zero-shot
Rice_Zeiss_Exp1_Image_54,Rice,Zeiss,Exp1,0.782,0.8776,0.8876,0.9405,0.9886,0.9942,0.8825,0.9376,0.9045,0.9499,0.9796,0.9897,0.9041,0.9482,zero-shot
Rice_Zeiss_Exp2_Image_55,Rice,Zeiss,Exp2,0.82,0.9011,0.8954,0.9448,0.9883,0.9941,0.9179,0.9572,0.8277,0.9057,0.9715,0.9855,0.9035,0.9481,zero-shot
Rice_Zeiss_Exp1_Image_48,Rice,Zeiss,Exp1,0.8471,0.9172,0.9169,0.9566,0.9867,0.9933,0.8534,0.9209,0.8615,0.9256,0.9738,0.9867,0.9066,0.9501,zero-shot
Rice_Zeiss_Exp1_Image_58,Rice,Zeiss,Exp1,0.8236,0.9033,0.8658,0.9281,0.9826,0.9912,0.8864,0.9398,0.9105,0.9531,0.982,0.9909,0.9085,0.9511,zero-shot
Rice_Zeiss_Exp1_Image_62,Rice,Zeiss,Exp1,0.8229,0.9028,0.9101,0.9529,0.9902,0.9951,0.8514,0.9197,0.8982,0.9464,0.9779,0.9888,0.9085,0.9510,zero-shot
Rice_Zeiss_Exp2_Image_47,Rice,Zeiss,Exp2,0.8215,0.902,0.9172,0.9568,0.9866,0.9933,0.8836,0.9382,0.8753,0.9335,0.974,0.9868,0.9097,0.9518,zero-shot
Rice_Zeiss_Exp1_Image_44,Rice,Zeiss,Exp1,0.8029,0.8907,0.9161,0.9562,0.991,0.9955,0.87,0.9305,0.8985,0.9465,0.9848,0.9923,0.9106,0.9520,zero-shot
Rice_Zeiss_Exp1_Image_42,Rice,Zeiss,Exp1,0.806,0.8926,0.9086,0.9521,0.99,0.995,0.8712,0.9312,0.9136,0.9548,0.9868,0.9933,0.9127,0.9532,zero-shot
Rice_Zeiss_Exp2_Image_66,Rice,Zeiss,Exp2,0.8356,0.9104,0.9063,0.9508,0.9917,0.9958,0.8528,0.9205,0.9086,0.9521,0.9853,0.9926,0.9134,0.9537,zero-shot
